titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Eternal Sunshine of the Spotless Mind;06-oct-04;Science fiction, Drame, Comédie;1h 48min;Michel Gondry;Jim Carrey, Kate Winslet, Kirsten Dunst;américain;Joel et Clementine ne voient plus que les mauvais côtés de leur tumultueuse histoire d'amour, au point que celle-ci fait effacer de sa mémoire toute trace de cette relation. Effondré, Joel contacte l'inventeur du procédé Lacuna, le Dr. Mierzwiak, pour qu'il extirpe également de sa mémoire tout ce qui le rattachait à Clementine. Deux techniciens, Stan et Patrick, s'installent à son domicile et se mettent à l'oeuvre, en présence de la secrétaire, Mary. Les souvenirs commencent à défiler dans la tête de Joel, des plus récents aux plusanciens, et s'envolent un à un, à jamais.Mais en remontant le fil du temps, Joel redécouvre ce qu'il aimait depuis toujours en Clementine - l'inaltérable magie d'un amour dont rien au monde ne devrait le priver. Luttant de toutes ses forces pour préserver ce trésor, il engage alors une bataille de la dernière chance contre Lacuna...;United International Pictures (UIP);4 prix et 14 nominations;05/10/2005;575 381 entrées;20 000 000 $;110721;4;4,2;20 critiques;39921 notes dont 2421 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=40191.html
Mary;13-sept-17;Drame;1h 41min;Marc Webb;Chris Evans, Mckenna Grace, Lindsay Duncan;américain;Un homme se bat pour obtenir la garde de sa nièce, qui témoigne d'un don hors du commun pour les mathématiques.;Twentieth Century Fox France;1 prix et 4 nominations;10/01/2018;-;-;147140;2,6;4,2;19 critiques;3155 notes dont 214 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=240263.html
Les enfants du paradis;15-mars-45;Drame, Romance;3h 09min;Marcel Carné;Arletty, Jean-Louis Barrault, Pierre Brasseur;français;Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance, femme libre et audacieuse, et de Baptiste qu'elle intimide et qui n'ose lui déclarer sa flamme. Mais aussi ceux de Nathalie, la fille du directeur du théâtre, qui aime Baptiste, et Frédérick Lemaître, un jeune acteur prometteur, qui entame une liaison avec Garance, tandis que cette dernière aime aussi Baptiste en secret.;Tamasa Distribution;3 nominations;18/09/2000;4 780 714 entrées;-;271;5;4,2;4 critiques;3657 notes dont 184 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=182.html
Tout en haut du monde;27-janv-16;Animation;1h 21min;Rémi Chayé;Christa Théret, Féodor Atkine, Thomas Sagols;français;1882, Saint-Pétersbourg.Sacha, jeune fille de l’aristocratie russe, a toujours été fascinée par la vie d’aventure de son grand-père, Oloukine. Explorateur renommé, concepteur d'un magnifique navire, le Davaï, il n’est jamais revenu de sa dernière expédition à la conquête du Pôle Nord. Sacha décide de partir vers le Grand Nord, sur la piste de son grand-père pour retrouver le fameux navire;Diaphana Distribution;2 prix et 6 nominations;07/06/2016;203 111 entrées;6 000 000 €;127017;4,3;4,2;21 critiques;1147 notes dont 126 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=213641.html
Braveheart;04-oct-95;Biopic, Drame;2h 45min;Mel Gibson;Mel Gibson, Sophie Marceau, Catherine McCormack;américain;Evocation de la vie tumultueuse de William Wallace, héros et symbole de l'indépendance écossaise, qui à la fin du XIIIe siècle affronta les troupes du roi d'Angleterre Edward I qui venaient d'envahir son pays.;UFD;9 prix et 12 nominations;29/08/2000;1 235 329 entrées;72 000 000 $;88091;2,6;4,2;5 critiques;38475 notes dont 1376 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10080.html
Colonia;20-juil-16;Drame, Historique, Romance;1h 46min;Florian Gallenberger;Emma Watson, Daniel Brühl, Michael Nyqvist;britannique;Chili, 1973. Le Général Pinochet s'empare du pouvoir par la force. Les opposants au coup d'Etat descendent dans la rue. Parmi les manifestants, un jeune couple, Daniel photographe et son ami Lena. Daniel est arrêté par la nouvelle police politique. Il est conduit dans un camp secret, caché dans un lieu reculé au sein d'une secte dirigée par un ancien nazi. Une prison dont personne n'est jamais sorti. Pour retrouver son amant, Lena va pourtant rentrer dans la Colonia Dignidad.;Rezo Films;-;23/11/2016;-;$14,000,000;141681;2,9;4,2;16 critiques;3646 notes dont 293 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=231836.html
Le Nom de la Rose;17-déc-86;Aventure, Drame, Thriller;2h 11min;Jean-Jacques Annaud;Sean Connery, Christian Slater, Helmut Qualtinger;allemand;En l'an 1327, dans une abbaye bénédictine, des moines disparaissent. Un franciscain, Guillaume de Baskerville aidé du jeune novice Adso von Melk mène l'enquête. C'est l'époque où l'Eglise, en pleine crise, se voit disputer son pouvoir spirituel et temporel. C'est aussi l'apogée de l'inquisition. Un thriller moyenageux très attendu préparé avec soin pendant trois ans, respectant le mieux possible l'époque et qui a coûté la bagatelle de dix-neuf millions de dollars. C'est également un film de Jean-Jacques Annaud toujours passionnément entraîné par ses sujets.;Artistes Auteurs Associés (A.A.A.);3 prix;07/02/2008;4 959 436 entrées;20 000 000 $;57269;4,8;4,2;5 critiques;31392 notes dont 973 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2402.html
Starbuck;27-juin-12;Comédie;1h 49min;Ken Scott;Patrick Huard, Julie Le Breton, Antoine Bertrand;canadien;Alors qu’il s’apprête à être père, David Wosniak, éternel adolescent de 42 ans, découvre être le géniteur anonyme de 533 enfants déterminés à le retrouver.;Diaphana Distribution;2 prix et 12 nominations;28/01/2019;464 383 entrées;7 000 000 $;133359;3,4;4,2;19 critiques;8141 notes dont 870 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=182935.html
La Rage au ventre;22-juil-15;Drame;2h 04min;Antoine Fuqua;Jake Gyllenhaal, Rachel McAdams, Forest Whitaker;américain;Champion du monde de boxe, Billy Hope mène une existence fastueuse avec sa superbe femme et sa fille qu’il aime plus que tout. Lorsque sa femme est tuée, son monde s’écroule, jusqu’à perdre sa maison et sa fortune. Pire, la garde de sa fille lui est retirée, la justice estimant son comportement incompatible avec son rôle de père. Au plus bas, il trouve une aide précieuse en la personne de Tick Willis, un ancien boxeur avec lequel il reprend l’entrainement. Billy va devoir se battre pour trouver la voie de la rédemption et regagner ainsi la garde de sa fille.;SND;-;25/11/2015;721 144 entrées;-;-;3,4;4,2;11 critiques;13591 notes dont 884 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=189077.html
Vous ne l'emporterez pas avec vous;03-nov-38;Comédie, Romance;2h 07min;Frank Capra;Jean Arthur, Lionel Barrymore, James Stewart;américain;Après avoir fait fortune, le vieux Vanderhof est devenu un sage en pensant que l'argent ne fait pas le bonheur. Il vit entouré de ses petits-enfants et de ses domestiques, pour le moins originaux. Mais voila que sa petite-fille Alice tombe amoureuse de Tony Kirby, le fils d'un homme d'affaires. Si Alice et Tony s'aiment, ce n'est pas le cas des Vanderhof et des Kirby, qui n'ont pas réellement la même conception de la vie.;Columbia;2 prix et 2 nominations;18/02/2003;-;-;2542;5;4,2;1 critique;346 notes dont 37 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2367.html
Platoon;25-mars-87;Guerre, Drame;2h 00min;Oliver Stone;Charlie Sheen, Tom Berenger, Willem Dafoe;américain;Septembre 1967: Chris Taylor, dix-neuf ans, rejoint la compagnie Bravo du 25ème régiment d'infanterie, près de la frontière cambodgienne. Chris, issu d'une famille bourgeoise s'est engagé volontairement et, plein d'idéal entend bien servir son pays. Mais la réalité est tout autre et ses illusions vont tomber les unes après les autres. Il sera également temoin de la rivalité sanglante qui oppose deux officiers qu'il admire.;Solaris Distribution;10 prix et 10 nominations;15/08/2000;2 977 785 entrées;6 000 000 $;65367;4,6;4,2;5 critiques;17533 notes dont 825 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=29700.html
Kingsman : Services secrets;18-févr-15;Action, Espionnage;2h 09min;Matthew Vaughn;Taron Egerton, Colin Firth, Samuel L. Jackson;américain;KINGSMAN, l’élite du renseignement britannique en costumes trois pièces, est à la recherche de sang neuf. Pour recruter leur nouvel agent secret, elle doit faire subir un entrainement de haut vol à de jeunes privilégiés aspirant au job rêvé. L’un d’eux semble être le candidat « imparfaitement idéal » : un jeune homme impertinent de la banlieue londonienne nommé Eggsy. Ces super-espions parviendront-ils à contrer la terrible menace que fait peser sur le monde l’esprit torturé du criminel Richmond Valentine, génie de la technologie?;Twentieth Century Fox France;-;08/07/2015;1 656 721 entrées;-;141323;3,9;4,2;24 critiques;31017 notes dont 1798 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=198771.html
Nausicaä de la vallée du vent;23-août-06;Animation, Aventure;1h 56min;Hayao Miyazaki;Gorô Naya, Ichirô Nagai, Jôji Yanami;japonais;Sur une Terre ravagée par la folie des hommes durant les sept jours de feu, une poignée d'humains a survécu. Menacée par une forêt toxique qui ne cesse de prendre de l'ampleur, cette poignée de survivants attend le salut de la princesse Nausicaä, capable de communiquer avec tous les êtres vivants.;Buena Vista International;-;18/04/2007;307 825 entrées;-;-;4,5;4,2;26 critiques;11363 notes dont 695 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=40132.html
Le Dîner de cons;15-avr-98;Comédie;1h 20min;Francis Veber;Thierry Lhermitte, Jacques Villeret, Francis Huster;français;Tous les mercredis, Pierre Brochant et ses amis organisent un dîner où chacun doit amener un con. Celui qui a trouvé le plus spectaculaire est declaré vainqueur. Ce soir, Brochant exulte, il est sur d'avoir trouvé la perle rare, un con de classe mondiale: Francois Pignon, comptable au ministère des Finances et passionné de modèles réduits en allumettes. Ce qu'il ignore c'est que Pignon est passe maître dans l'art de déclencher des catastrophes.;Gaumont Buena Vista International (GBVI);5 prix et 3 nominations;-;9 247 509 entrées;12,50 000 000 €;83345;-;4,2;-;70990 notes dont 2018 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=16731.html
Le Hobbit : un voyage inattendu;12-déc-12;Fantastique, Aventure;2h 49min;Peter Jackson;Ian McKellen, Martin Freeman, Richard Armitage;néo-zélandais;"Dans UN VOYAGE INATTENDU, Bilbon Sacquet cherche à reprendre le Royaume perdu des Nains d'Erebor, conquis par le redoutable dragon Smaug. Alors qu'il croise par hasard la route du magicien Gandalf le Gris, Bilbon rejoint une bande de 13 nains dont le chef n'est autre que le légendaire guerrier Thorin Écu-de-Chêne. Leur périple les conduit au cœur du Pays Sauvage, où ils devront affronter des Gobelins, des Orques, des Ouargues meurtriers, des Araignées géantes, des Métamorphes et des Sorciers…Bien qu'ils se destinent à mettre le cap sur l'Est et les terres désertiques du Mont Solitaire, ils doivent d'abord échapper aux tunnels des Gobelins, où Bilbon rencontre la créature qui changera à jamais le cours de sa vie : Gollum.C'est là qu'avec Gollum, sur les rives d'un lac souterrain, le modeste Bilbon Sacquet non seulement se surprend à faire preuve d'un courage et d'une intelligence inattendus, mais parvient à mettre la main sur le ""précieux"" anneau de Gollum qui recèle des pouvoirs cachés… Ce simple anneau d'or est lié au sort de la Terre du Milieu, sans que Bilbon s'en doute encore…";Warner Bros. France;6 nominations;17/04/2013;4 497 301 entrées;180 000 000 $;135469;3,2;4,2;25 critiques;48954 notes dont 4402 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=119089.html
Une journée particulière;07-sept-77;Comédie dramatique;1h 45min;Ettore Scola;Sophia Loren, Marcello Mastroianni, John Vernon;italien;A Rome le 6 mai 1938. Alors que tous les habitants de l'immeuble assistent au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.;Les Acacias;2 prix et 6 nominations;10/02/2005;1 076 409 entrées;-;47725;5;4,2;1 critique;909 notes dont 73 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=3235.html
American Beauty;02-févr-00;Drame;2h 02min;Sam Mendes;Kevin Spacey, Annette Bening, Thora Birch;américain;Une maison de rêve, un pavillon bourgeois discrètement cossu dissimule dans une banlieue résidentielle, c'est ici que résident Lester Burnhamm, sa femme Carolyn et leur fille Jane. L'agitation du monde et sa violence semblent bien loin ici. Mais derrière cette respectable façade se tisse une étrange et grinçante tragi-comédie familiale ou désirs inavoués, frustrations et violences refoulées conduiront inexorablement un homme vers la mort.;United International Pictures (UIP);14 prix et 16 nominations;24/10/2000;2 964 114 entrées;15 000 000 $;98691;3,9;4,2;28 critiques;42818 notes dont 1760 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=21946.html
La Fille du puisatier;20-déc-40;Comédie dramatique;2h 50min;Marcel Pagnol;Josette Day, Fernandel, Fernand Charpin;français;Fille aînée du puisatier Amoretti, Patricia s'éprend de Jacques Mazel, un jeune aviateur, issu d'une famille de riches commerçants. Lorsque la guerre éclate, Jacques part rejoindre son escadrille, ignorant que Patricia attend un enfant de lui. Blâmée par son père, la jeune fille est également rejetée par les parents de Jacques.;-;-;15/03/2020;-;-;-;-;4,2;-;360 notes dont 37 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=11725.html
Les Diaboliques;29-janv-55;Drame, Thriller;1h 54min;Henri-Georges Clouzot;Noël Roquevert, Simone Signoret, Vera Clouzot;français;Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît...;Les Acacias;1 prix et 1 nomination;26/01/1999;-;-;-;-;4,2;-;4988 notes dont 267 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=3732.html
A Star Is Born;03-oct-18;Drame, Romance;2h 16min;Bradley Cooper;Lady Gaga, Bradley Cooper, Sam Elliott;américain;Star de country un peu oubliée, Jackson Maine découvre Ally, une jeune chanteuse très prometteuse. Tandis qu'ils tombent follement amoureux l'un de l'autre, Jack propulse Ally sur le devant de la scène et fait d'elle une artiste adulée par le public. Bientôt éclipsé par le succès de la jeune femme, il vit de plus en plus de mal son propre déclin…;Warner Bros. France;3 prix et 27 nominations;20/02/2019;2 006 777 entrées;-;149484;3,3;4,2;24 critiques;20136 notes dont 1502 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=173109.html
Fanny et Alexandre - Partie 1;11-mai-13;Drame;2h 51min;Ingmar Bergman;Pernilla Allwin, Bertil Guve, Kristina Adolphson;ouest-allemand;L'histoire se déroule dans la Suède du début du XXème siècle. Le film dépeint la vie d'une jeune fille, Fanny, et de son frère Alexandre au sein d'une famille aisée, les Ekdahl. Les parents de Fanny et Alexandre travaillent dans le théâtre et sont très heureux ensemble jusqu'à la mort subite du père. Peu après ce drame, la mère trouve un prétendant, un évêque, et accepte sa proposition de mariage. Elle déménage chez lui avec les enfants.;Bodega Films;7 prix et 6 nominations;16/10/2013;-;-;2019002962;-;4,2;-;509 notes dont 67 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=947.html
Good Morning England;06-mai-09;Comédie, Romance, Musical;2h 15min;Richard Curtis;Tom Sturridge, Philip Seymour Hoffman, Rhys Ifans;allemand;"Carl vient de se faire renvoyer du lycée, et sa mère a décidé qu'il irait réfléchir à son avenir auprès de son parrain, Quentin. Il se trouve que celui-ci est le patron de Radio Rock, une radio pirate qui émet depuis un bateau en mer du Nord peuplé d'un équipage éclectique de DJ's rock and roll. À leur tête se trouve le Comte, un Américain exubérant, véritable dieu des ondes en synergie totale avec la musique. A ses côtés, ses fidèles animateurs : Dave, ironique, intelligent et d'un humour acéré ; l'adorable Simon, qui cherche l'amour ; l'énigmatique Midnight Mark, séduisant et silencieux ; Wee Small Hours Bob, le DJ des petites heures du matin, accro à la musique folk et à la drogue, Thick Kevin, qui possède l'intelligence la plus microscopique du monde ; On-the-Hour John, le chroniqueur des actualités, et Angus ""The Nut"" Nutsford, qui est sans doute l'homme le plus agaçant d'Angleterre...La vie en mer du Nord est riche en événements...";StudioCanal;-;22/09/2009;867 412 entrées;-;121880;3,7;4,2;18 critiques;24770 notes dont 1507 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=134316.html
Nos étoiles contraires;20-août-14;Romance, Drame;2h 05min;Josh Boone;Shailene Woodley, Ansel Elgort, Nat Wolff;américain;Hazel Grace et Gus sont deux adolescents hors-normes, partageant un humour ravageur et le mépris des conventions. Leur relation est elle-même inhabituelle, étant donné qu’ils se sont rencontrés et sont tombés amoureux lors d'un groupe de soutien pour les malades du cancer.;Twentieth Century Fox France;-;20/12/2014;1 023 438 entrées;-;139848;2,8;4,2;22 critiques;17962 notes dont 1596 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=218926.html
La Révolution silencieuse;02-mai-18;Drame;1h 51min;Lars Kraume;Leonard Scheicher, Tom Gramenz, Lena Klenke;allemand;Allemagne de l'est, 1956. Kurt, Theo et Lena ont 18 ans et s'apprêtent à passer le bac. Avec leurs camarades, ils décident de faire une minute de silence en classe, en hommage aux révolutionnaires hongrois durement réprimés par l'armée soviétique. Cette minute de silence devient une affaire d'Etat. Elle fera basculer leurs vies. Face à un gouvernement est-allemand déterminé à identifier et punir les responsables, les 19 élèves de Stalinstadt devront affronter toutes les menaces et rester solidaires.;Pyramide Distribution;1 prix et 4 nominations;14/02/2019;154 555 entrées;-;148701;3,3;4,2;19 critiques;1098 notes dont 116 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=254195.html
Souvenirs de Marnie;14-janv-15;Animation, Drame, Famille;1h 44min;Hiromasa Yonebayashi;Kasumi Arimura, Sara Takatsuki, Nanako Matsushima;japonais;Anna, jeune fille solitaire, vit en ville avec ses parents adoptifs. Un été, elle est envoyée dans un petit village au nord d’Hokkaïdo. Dans une vieille demeure inhabitée, au coeur des marais, elle va se lier d’amitié avec l’étrange Marnie…;The Walt Disney Company France;3 nominations;01/07/2015;120 402 entrées;-;141059;3,6;4,2;22 critiques;2169 notes dont 177 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=225897.html
Certains l'aiment chaud;09-sept-59;Comédie, Romance;2h 01min;Billy Wilder;Marilyn Monroe, Tony Curtis, Jack Lemmon;américain;Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent illico amoureux d'une ravissante et blonde créature, Alouette, qui veut épouser un milliardaire.;Park Circus France;4 prix et 3 nominations;04/03/2003;4 200 562 entrées;3 500 000 $;-;3,2;4,2;5 critiques;9877 notes dont 493 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=26186.html
M le Maudit;08-avr-32;Policier, Thriller;1h 52min;Fritz Lang;Peter Lorre, Otto Wernicke, Gustaf Gründgens;allemand;Toute la presse ne parle que de ça : le maniaque tueur d’enfants, qui terrorise la ville depuis quelques temps, vient de faire une nouvelle victime. Chargé de l’enquête, le commissaire Lohmann multiplie les rafles dans les bas-fonds. Gênée par toute cette agitation la pègre décide de retrouver elle-même le criminel : elle charge les mendiants et les clochards de surveiller chaque coin de rue…;Tamasa Distribution;-;06/10/2003;-;-;23729;5;4,2;6 critiques;6703 notes dont 368 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=418.html
Ombline;12-sept-12;Drame;1h 35min;Stéphane Cazes;Mélanie Thierry, Nathalie Becue, Corinne Masiero;français;Ombline, une jeune femme de vingt ans, est condamnée à 3 ans de prison suite à une violente agression. Alors qu'elle a perdu tout espoir en l'avenir, un événement vient bouleverser sa vie : elle découvre qu’elle est enceinte et donne naissance à Lucas. La loi lui permettant de l'élever les 18 premiers mois, Ombline va se battre pour garder son fils le plus longtemps possible auprès d'elle et convaincre le juge qu'elle est capable d'en assumer la garde à sa sortie de prison. Dans cet univers carcéral sombre, commence le combat d'une femme devenue mère en prison, qui va se reconstruire en se battant pour son enfant.;ZED;3 prix et 5 nominations;17/09/2013;26 010 entrées;-;127490;3,4;4,2;13 critiques;869 notes dont 260 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=203981.html
Divorce à l'Italienne;22-mai-62;Comédie, Drame, Romance;1h 44min;Pietro Germi;Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli;italien;"Ferdinando Cefalu, un noble sicilien, est amoureux de sa jeune cousine, Angela. Mais il est marié à Rosalia, une femme insupportable, et le divorce est illégal en Italie... Plein de ressources, Ferdinando concocte donc un "" divorce à l'italienne "" : pousser sa femme dans les bras d'un amant, surprendre l'infidèle en pleine action et commettre un crime passionnel qui n'entraîne qu'un minimum de peine de prison...";Les Films du Camelia;1 prix et 7 nominations;26/04/2005;1 844 718 entrées;-;26167;4;4,2;2 critiques;371 notes dont 54 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=97129.html
Mademoiselle;01-nov-16;Drame, Romance;2h 31min;Park Chan-Wook;Kim Min-Hee, Tae-ri Kim, Ha Jung-Woo;sud-coréen;Corée. Années 30, pendant la colonisation japonaise. Une jeune femme (Sookee) est engagée comme servante d’une riche japonaise (Hideko), vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret. Avec l’aide d’un escroc se faisant passer pour un comte japonais, ils ont d’autres plans pour Hideko…;The Jokers / Bac Films;1 prix et 5 nominations;22/03/2017;301 115 entrées;-;145406;3,8;4,2;36 critiques;5409 notes dont 304 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=231299.html
Le Loup de Wall Street;25-déc-13;Biopic, Drame;2h 59min;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie;américain;L’argent. Le pouvoir. Les femmes. La drogue. Les tentations étaient là, à portée de main, et les autorités n’avaient aucune prise. Aux yeux de Jordan et de sa meute, la modestie était devenue complètement inutile. Trop n’était jamais assez…;Metropolitan FilmExport;1 prix et 13 nominations;25/04/2014;3 009 494 entrées;100 000 000 $;138743;4;4,2;24 critiques;41991 notes dont 2812 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=127524.html
Piège de cristal;21-sept-88;Action, Thriller;2h 12min;John McTiernan;Bruce Willis, Alan Rickman, Alexander Godunov;américain;John McClane, policier new-yorkais, est venu rejoindre sa femme Holly, dont il est séparé depuis plusieurs mois, pour les fêtes de Noël dans le secret espoir d'une réconciliation. Celle-ci est cadre dans une multinationale japonaise, la Nakatomi Corporation. Son patron, M. Takagi, donne une soirée en l'honneur de ses employés, à laquelle assiste McClane. Tandis qu'il s'isole pour téléphoner, un commando investit l'immeuble et coupe toutes les communications avec l'extérieur...;-;5 nominations;09/03/1999;655 545 entrées;28 000 000 $;-;3,6;4,2;9 critiques;45498 notes dont 1504 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4019.html
Le Parrain, 3e partie;27-mars-91;Drame, Policier;2h 40min;Francis Ford Coppola;John Cazale, Richard S. Castellano, Tony Devon;américain;Atteignant la soixantaine, Michael Corleone désire à la fois renouer avec les siens et se réhabiliter aux yeux de la société, surtout de l'Eglise. Il arrivera presque a ses fins, mais sa vie passée et ses anciens ennemis le rattraperont plus vite.Michael Corleone est fatigué. Il veut prendre ses distances avec les activités mafieuses de sa famille. Il veut convertir ces activités en affaires légales. Kay, son ex-femme, lui fait même accepter que leur fils devienne un chanteur d'opéra et ne reprenne pas les activités familiales.Pendant ce temps, la fille de Michael, Mary, et son neveu, le fils de Sonny, Vincent, nouent une idylle qui n'est pas la bienvenue dans la famille.Il décide d'aider le Vatican à renflouer ses caisses et reçoit en échange le contrôle d'une entreprise immobilière leur appartenant. Attisant la jalousie de ses pairs, Michael échappe de justesse à un attentat commis par l'un d'eux. Vincent se propose alors pour reprendre les affaires de la famille en main.;United International Pictures (UIP);14 nominations;06/06/2012;-;54000000 $;75938;-;4,2;-;17603 notes dont 732 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=6608.html
The Revenant;24-févr-16;Western, Aventure;2h 36min;Alejandro González Iñárritu;Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson;taïwanais;Dans une Amérique profondément sauvage, Hugh Glass, un trappeur, est attaqué par un ours et grièvement blessé. Abandonné par ses équipiers, il est laissé pour mort. Mais Glass refuse de mourir. Seul, armé de sa volonté et porté par l’amour qu’il voue à sa femme et à leur fils, Glass entreprend un voyage de plus de 300 km dans un environnement hostile, sur la piste de l’homme qui l’a trahi. Sa soif de vengeance va se transformer en une lutte héroïque pour braver tous les obstacles, revenir chez lui et trouver la rédemption.;Twentieth Century Fox France;14 prix et 13 nominations;01/07/2016;3 783 833 entrées;-;143735;3,8;4,2;45 critiques;32836 notes dont 2363 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=182266.html
Requiem pour un massacre;16-sept-87;Guerre, Drame;2h 23min;Elem Klimov;Aleksei Kravchenko, Olga Mironova, Luibomiras Laucevitchuis;soviétique;En 1943, en Biélorussie, un jeune villageois, Fliora, déterre le fusil d’un soldat mort et s’engage chez les partisans contre l’envahisseur allemand. Avec l’énergie et l’idéalisme d’un enfant, il plonge dans l’horreur d’un monde qui dépasse les adultes eux-mêmes. Entre errance et combat, Fliora devient le témoin de toutes les horreurs de la guerre.;Potemkine Films;-;-;-;-;66546;-;4,2;-;910 notes dont 144 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2688.html
L'Argent de la vieille;30-nov-77;Comédie;1h 58min;Luigi Comencini;Alberto Sordi, Silvana Mangano, Bette Davis;italien;"Une américaine très riche est passionnée par les jeux de cartes. Son jeu préféré est le ""scopone scientifico"" auquel elle joue quand elle est en Italie. Là-bas, sa demeure surplombe un bidonville de Rome et madame se plaît à défier les pauvres gens au cours de parties où elle est sûre de remporter la mise...";Les Acacias;-;-;-;-;47 205;5;4,2;6 critiques;347 notes dont 45 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4936.html
Adieu Les Cons;21-oct-20;Comédie;1h 27min;Albert Dupontel;Virginie Efira, Albert Dupontel, Nicolas Marié;français;Lorsque Suze Trappet apprend à 43 ans qu’elle est sérieusement malade, elle décide de partir à la recherche de l'enfant qu’elle a été forcée d'abandonner quand elle avait 15 ans.Sa quête administrative va lui faire croiser JB, quinquagénaire en plein burn out, et M. Blin, archiviste aveugle d’un enthousiasme impressionnant. À eux trois, ils se lancent dans une quête aussi spectaculaire qu’improbable.;Gaumont Distribution;17 nominations;-;-;-;150859;3,7;4,2;41 critiques;2889 notes dont 489 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=274345.html
Brève Rencontre;20-nov-46;Drame, Romance;1h 26min;David Lean;Celia Johnson, Trevor Howard, Cyril Raymond;britannique;Dans le café-buffet de la gare de Milford, un homme et une femme se disent adieu. Troublée par l’arrivée fortuite d’une amie encombrante, Laura, la femme, fait un malaise au moment où l’homme la quitte pour prendre son train. De retour à la maison, elle passe la soirée en compagnie de son mari et imagine secrètement qu’elle lui confesse sa liaison…;Gaumont;1 prix et 11 nominations;27/06/2000;1 546 918 entrées;-;4790;-;4,2;-;287 notes dont 41 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4291.html
La Colline des hommes perdus;28-mars-07;Guerre, Drame;2h 03min;Sidney Lumet;Sean Connery, Harry Andrews, Ian Bannen;britannique;Durant la Seconde Guerre mondiale, un camp disciplinaire situé en Libye et dirigé par le sergent-major Wilson accueille cinq nouveaux prisonniers. Le terrible et très cruel sergent Williams est nommé par Wilson pour en faire ce qu'il estime de vrais soldats. Sous un soleil de plomb et face au défi d'une colline artificielle installée au milieu du camp pour les malmener, les cinq hommes vont devoir affronter l'autorité du sergent Williams.;-;1 prix et 8 nominations;28/03/2007;995 870 entrées;-;30521;5;4,2;1 critique;414 notes dont 55 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=33419.html
